read query  1734ticks
run query  175ticks
read query  1733ticks
run query  175ticks
read query  450ticks
run query  181ticks
read query  426ticks
run query  178ticks
read query  450ticks
run query  181ticks
read query  412ticks
run query  179ticks
read query  449ticks
run query  177ticks
read query  414ticks
run query  183ticks
read query  412ticks
run query  178ticks
read query  460ticks
run query  178ticks
read query  450ticks
run query  175ticks
read query  423ticks
run query  183ticks
read query  478ticks
run query  370ticks
read query  476ticks
run query  206ticks
read query  467ticks
run query  185ticks


r1 497ticks
r2 476ticks
r2 452ticks
r2 447ticks
r1 492ticks
r1 458ticks
r3 36ticks
r3 31ticks
r3 33ticks
r4 36ticks
r4 36ticks
r4 35ticks
r4 30ticks
r4 486ticks

captures  101ticks
while remove by one  1067 60ticks
replace  87ticks
captures  98ticks
while remove by one  1065 46ticks
replace  85ticks
replace  10756ticks

read query  66ticks
run query  206ticks
read query  64ticks
run query  162ticks
read query  58ticks
run query  167ticks


 optional filter

read query  57ticks
run query  162ticks
read query  58ticks
run query  159ticks
read query  53ticks
run query  0ticks
read query  7ticks
run query  0ticks

read query  30,5031ms
run query  13,0587ms
read query  0,3398ms
run query  0,2536ms
read query  0,3515ms
run query  0,2393ms
read query  0,3508ms
run query  0,2265ms

read query  33,9796ms
run query  15,3772ms
read query  0,3184ms
run query  0,2291ms
read query  0,3025ms
run query  0,2189ms
read query  0,2906ms
run query  0,2206ms

read query  40,8831ms
run query  15,5509ms
read query  0,3548ms
run query  0,2273ms
read query  0,3043ms
run query  0,2329ms
read query  0,287ms
run query  0,2224ms

read query  44,6719ms
run query  16,747ms
read query  0,4475ms
run query  0,3184ms
read query  0,5475ms
run query  0,3054ms
read query  0,5018ms
run query  0,3153ms

read query  42,1943ms
run query  15,4892ms
read query  0,5204ms
run query  0,3153ms
read query  0,4615ms
run query  0,2564ms
read query  0,4791ms
run query  0,3268ms
read query  35,8349ms
run query  14,0117ms
read query  0,3615ms
run query  0,2518ms
read query  0,3329ms
run query  0,2354ms
read query  0,4291ms
run query  0,237ms
read query  39,1285ms
run query  15,6545ms
read query  0,326ms
run query  0,2296ms
read query  0,3135ms
run query  0,2528ms
read query  0,324ms
run query  0,2689ms
read query  42,2749ms
run query  16,0086ms
read query  0,3543ms
run query  0,2388ms
read query  0,3941ms
run query  0,262ms
read query  0,3485ms
run query  0,2199ms
read query  45,6856ms
run query  17,0932ms
read query  0,35ms
run query  0,2439ms
read query  0,3686ms
run query  0,386ms
read query  0,376ms
run query  0,3018ms
read query  37,6786ms
run query  18,8797ms
read query  0,3556ms
run query  0,2344ms
read query  0,3207ms
run query  0,2291ms
read query  0,3013ms
run query  0,2145ms
read query  34,0375ms
run query  16,0857ms
read query  0,3207ms
run query  0,2255ms
read query  0,3079ms
run query  0,2237ms
read query  0,2798ms
run query  0,2071ms
read query  34,3429ms
run query  14,7709ms
read query  0,3191ms
run query  0,3056ms
read query  0,3232ms
run query  0,2097ms
read query  0,2985ms
run query  0,2235ms
read query  35,5005ms
run query  14,6949ms
read query  0,315ms
run query  0,2224ms
read query  0,2916ms
run query  0,2214ms
read query  0,2839ms
run query  0,2602ms
read query  48,5398ms
run query  17,2981ms
read query  0,3574ms
run query  0,3222ms
read query  0,4735ms
run query  0,2964ms
read query  0,4375ms
run query  0,2375ms
read query  32,164ms
run query  13,8772ms
read query  0,3528ms
run query  0,2533ms
read query  0,4194ms
run query  0,2867ms
read query  0,4041ms
run query  0,3179ms
read query  36,9836ms
run query  13,1893ms
read query  0,3577ms
run query  0,2972ms
